Date,Open,High,Low,Close,Volume,Weighted_bitcoin_price,bitcoin_sent,Address,generatedCoin,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,bitcoin_sent_inNum,Lable
21/11/2017,8205.74,8348.66,7762.71,8071.26,528289.791,8097.09,29726091383,979924,2163,370918,1.36E+12,8.3,962169,70.72,3275805.882,1279.86,56.83,1.1738,61690,87110,3671206.74,8071.26
22/11/2017,8077.95,8302.26,8075.47,8253.55,444342.9578,8177.31,28769191853,870876,1850,311885,1.36E+12,9.79,967896,71.05,2222237.861,1284.1,58.02,1.1822,53155,78405,3518173.073,8253.55
23/11/2017,8232.38,8267.4,8038.77,8038.77,518787.9057,8144.33,27866621489,956721,1963,352050,1.36E+12,9.09,961840,73.12,4311364.989,1290.37,58.02,1.1851,47490,75047,3421597.785,8038.77
24/11/2017,8074.02,8374.16,7940.93,8253.69,619874.5421,8160.7,21857455426,907143,1863,305586,1.36E+12,9.7,956843,75.47,3808029.681,1289.63,58.95,1.1933,45720,69886,2678379.971,8253.69
25/11/2017,8241.71,8790.92,8191.15,8790.92,510610.1286,8503.67,24528186999,931680,1950,336533,1.35E+12,9.3,967078,83.4,5850083.837,1289.63,58.95,1.1933,44223,71625,2884423.666,8790.92
26/11/2017,8789.04,9522.93,8775.59,9330.55,601412.6928,9104.53,18520358669,936230,1913,329524,1.35E+12,9.38,958027,86.96,4110590.984,1280.33,58.11,1.1898,65803,80943,2034191.624,9330.55
27/11/2017,9352.72,9818.35,9352.72,9818.35,589775.8699,9585.54,23289725234,1057287,2125,379086,1.35E+12,8.48,958535,89.17,4817662.981,1292.18,58.11,1.1898,123516,98413,2429672.74,9818.35
28/11/2017,9823.43,10125.7,9736.3,10058.8,638967.5553,9936.06,28405585649,1025731,1950,365821,1.35E+12,9.19,963834,93.53,4158355.693,1295.89,57.99,1.184,144286,106360,2858837.975,10058.8
29/11/2017,10077.4,11517.4,9601.03,9888.61,1126343.671,10271.11,34162943841,1131747,2162,397917,1.35E+12,8.35,966574,91.99,8553320.665,1287.08,57.3,1.1847,262289,128781,3326119.946,9888.61
30/11/2017,9906.79,10801,9202.05,10233.6,828099.4147,10035.86,26946766269,1084885,2088,384219,1.35E+12,8.54,974995,86.55,5568434.431,1278.82,57.4,1.1904,212459,103190,2685048.045,10233.6
